#{"t_start": 1702918106.4688458, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,508,6.305111
3.0,1027,11.344586
2.0,806,15.554327
0.0,507,20.624222
4.0,1197,26.488267
0.0,507,29.1158
2.0,745,32.459929
1.0,700,37.949184
9.0,1624,46.352816
4.0,1126,54.354123
0.0,539,56.859461
2.0,808,61.220361
2.0,804,67.01794
2.0,812,71.228599
0.0,535,73.159724
2.0,807,77.280316
0.0,505,79.624649
0.0,505,83.826898
1.0,711,87.059429
0.0,519,89.453402
2.0,817,92.992288
5.0,1322,101.746225
1.0,722,104.779876
1.0,644,107.832546
1.0,632,113.818751
1.0,643,116.729585
4.0,1125,122.066173
12.0,1966,135.127762
1.0,636,137.808002
3.0,869,145.187845
3.0,986,149.974603
2.0,827,153.692192
3.0,931,161.87457
4.0,1187,167.496521
1.0,628,170.192013
10.0,2126,183.60627
11.0,2398,198.888748
3.0,1053,203.078391
2.0,848,210.796158
5.0,1420,217.659855
4.0,1141,227.767437
2.0,853,231.509962
7.0,1694,243.150235
9.0,1982,252.942559
9.0,1319,264.376724
10.0,1435,270.896055
5.0,1505,282.381816
16.0,2418,299.558239
12.0,1914,313.241964
16.0,2542,329.741599
7.0,1516,337.175812
15.0,1763,350.257736
5.0,1327,356.879621
7.0,1649,369.807599
6.0,1376,382.361547
7.0,1667,390.291037
1.0,631,393.705001
15.0,1707,406.644035
17.0,1918,419.957644
12.0,2252,435.468727
5.0,1206,440.550441
15.0,2316,455.580049
10.0,1594,466.876495
17.0,2798,483.707569
13.0,1430,490.117912
8.0,1699,502.273358
14.0,2243,517.851841
6.0,1541,524.329167
12.0,2395,539.923937
15.0,2356,554.949744
6.0,1239,566.369452
7.0,1646,573.820989
8.0,1816,586.694793
10.0,1588,598.194918
15.0,2325,614.787899
11.0,2193,624.681867
9.0,1851,637.899368
18.0,2088,652.894114
12.0,2393,669.912689
14.0,2228,684.777552
18.0,2618,702.992475
20.0,2293,719.637415
8.0,1872,728.513547
13.0,2741,747.892089
12.0,2277,765.308121
15.0,1670,778.692052
17.0,2136,796.299065
14.0,2302,814.751242
17.0,2985,836.287454
18.0,2322,853.357164
11.0,1554,860.575024
23.0,2898,886.848935
20.0,3099,909.424552
23.0,3450,931.708077
18.0,2729,950.697677
15.0,2684,970.041019
13.0,2472,987.728765
16.0,2650,1006.597791
18.0,2430,1024.437278
5.0,1199,1036.254037
11.0,2307,1046.881087
25.0,2963,1074.644341
12.0,2446,1090.704368
11.0,2265,1101.786985
30.0,3294,1128.414751
21.0,2129,1144.153809
12.0,1595,1151.707929
11.0,1638,1166.708514
21.0,2532,1185.029526
24.0,2891,1204.54602
16.0,2593,1223.202775
15.0,2819,1242.683603
15.0,2531,1263.097086
20.0,3169,1284.934113
16.0,2395,1302.170332
30.0,3596,1330.766196
6.0,1518,1338.259693
26.0,2968,1357.814828
13.0,2245,1375.23118
8.0,1947,1389.484149
18.0,2961,1410.676602
33.0,3117,1433.719746
12.0,2200,1451.776958
25.0,3400,1474.848122
20.0,2405,1491.813851
16.0,2756,1517.898658
32.0,3828,1543.318545
33.0,3784,1567.80745
29.0,3610,1598.469709
21.0,2580,1618.070435
15.0,2368,1636.91963
20.0,2915,1658.428372
9.0,1870,1673.364127
27.0,2567,1691.317056
24.0,2879,1713.000548
22.0,2817,1733.842304
18.0,2585,1754.022618
25.0,2093,1772.174787
24.0,2926,1794.378868
35.0,2884,1815.413693
16.0,2762,1835.974365
21.0,2333,1856.124929
20.0,2575,1875.214453
21.0,2687,1896.195671
26.0,3972,1931.05741
12.0,2257,1941.980452
18.0,2338,1962.095447
26.0,2862,1982.856948
22.0,3379,2016.30962
23.0,3488,2039.952648
38.0,3948,2069.859241
34.0,2769,2091.282659
28.0,3624,2116.382874
12.0,2348,2133.559424
21.0,2702,2152.817509
14.0,2397,2172.061382
33.0,4033,2211.37745
27.0,3287,2234.042242
22.0,2979,2255.975514
43.0,3932,2292.490408
18.0,3157,2316.028262
21.0,2511,2336.809869
39.0,4204,2369.107348
19.0,3099,2396.105972
44.0,4647,2436.58959
18.0,2624,2457.239332
67.0,5370,2499.023326
7.0,1458,2505.743724
5.0,1263,2518.299494
56.0,5449,2557.8749
18.0,2642,2577.391242
23.0,3511,2602.827207
2.0,735,2615.141234
8.0,1815,2623.216245
22.0,3145,2659.813434
31.0,4086,2689.328694
13.0,1826,2707.863207
35.0,4813,2747.672476
39.0,3601,2775.325112
13.0,1847,2794.598485
25.0,3402,2822.339712
45.0,4778,2865.139086
29.0,3723,2902.885557
44.0,3486,2926.255932
15.0,2565,2945.052591
52.0,3901,2971.533068
27.0,2665,2993.22347
14.0,2524,3013.805269
22.0,3182,3044.705667
40.0,4339,3072.972597
55.0,4306,3111.629889
49.0,4414,3156.956557
12.0,2224,3175.944865
52.0,4683,3216.60534
65.0,5649,3263.958577
14.0,2239,3284.147144
45.0,4073,3313.838509
23.0,1972,3332.049382
52.0,4307,3376.22667
61.0,4139,3404.906252
8.0,1488,3421.838646
22.0,2956,3446.449863
56.0,5703,3495.406087
32.0,3412,3531.400879
30.0,3892,3558.807192
74.0,5957,3619.758419
37.0,3373,3646.860304
78.0,5437,3693.035602
14.0,2351,3714.484855
26.0,2921,3738.893641
20.0,2410,3760.384728
65.0,5292,3806.394276
27.0,3230,3827.938796
68.0,5581,3886.574958
64.0,6027,3929.052193
40.0,3995,3970.307012
34.0,2872,3994.508938
66.0,5317,4040.82514
46.0,4357,4069.598965
53.0,4108,4110.609226
22.0,1807,4128.205753
72.0,5628,4175.503422
13.0,2238,4195.523403
103.0,5934,4243.188468
32.0,4044,4285.84288
17.0,2590,4312.348693
39.0,3826,4342.755469
47.0,4737,4385.420852
99.0,6180,4446.105991
45.0,3641,4476.113766
50.0,4089,4515.143421
42.0,3522,4541.439362
275.0,4973,4587.677236
65.0,5325,4638.623927
14.0,2460,4662.772207
31.0,3297,4689.904568
72.0,4492,4735.796445
97.0,5242,4782.37141
21.0,2545,4807.609663
53.0,5518,4864.272808
47.0,4844,4916.115457
21.0,3067,4940.981527
184.0,4379,4989.520571
48.0,3391,5027.723128
49.0,4278,5056.99913
83.0,5632,5102.619069
77.0,4043,5141.433728
59.0,5727,5194.294586
86.0,5438,5240.665736
98.0,6484,5305.610872
81.0,6606,5366.142166
19.0,2345,5390.928292
77.0,5933,5442.508762
64.0,5378,5491.245472
61.0,3839,5520.4343
63.0,4750,5567.035692
62.0,4435,5611.522809
86.0,5239,5655.693968
79.0,4964,5700.821763
110.0,6263,5770.861042
91.0,6036,5816.554554
20.0,2394,5838.605648
63.0,3511,5863.437123
60.0,3723,5902.399982
79.0,4016,5930.995315
230.0,5483,5990.122852
16.0,2328,6000.324862
20.0,3072,6032.439927
51.0,4622,6060.32201
16.0,2509,6083.027917
23.0,2185,6103.968551
255.0,6187,6169.614804
64.0,5120,6213.009003
48.0,4029,6241.987095
97.0,6734,6314.088771
140.0,7170,6388.653867
28.0,2958,6416.620009
63.0,4713,6461.277348
74.0,6210,6514.757527
352.0,7560,6594.405349
32.0,3701,6635.379747
49.0,4214,6667.346901
86.0,5225,6710.903687
94.0,5481,6771.729418
72.0,5315,6827.383112
45.0,2893,6852.780717
12.0,2183,6876.447502
19.0,2692,6900.557375
66.0,5386,6951.036877
46.0,3978,6980.556482
32.0,3493,7020.001449
115.0,5803,7071.665917
104.0,6009,7122.957012
23.0,2907,7152.12648
17.0,2539,7173.560355
319.0,6868,7228.614759
22.0,3389,7267.635226
365.0,7723,7339.12125
12.0,2162,7361.949851
99.0,5518,7411.806193
116.0,6557,7459.312848
118.0,5359,7509.253587
92.0,5817,7571.93217
36.0,3167,7597.656687
63.0,5570,7647.26208
350.0,7672,7716.334875
51.0,4455,7755.988555
28.0,3314,7779.92119
249.0,6636,7845.339554
26.0,2894,7873.23439
118.0,6381,7933.888338
131.0,6980,7998.917468
24.0,3958,8037.301448
80.0,4446,8087.181084
75.0,5573,8136.721104
179.0,5776,8198.021333
40.0,4200,8247.420926
13.0,2370,8276.220308
189.0,6783,8342.881276
97.0,5373,8393.243372
26.0,2423,8417.236593
386.0,7929,8515.401935
57.0,2594,8539.40154
28.0,3405,8571.542254
369.0,9602,8678.729657
361.0,8567,8763.881672
48.0,4410,8811.874328
91.0,5197,8858.97616
26.0,3212,8889.454738
5.0,1255,8913.487544
94.0,5655,8969.271161
38.0,4037,9002.271092
41.0,4120,9048.80208
304.0,7280,9132.658624
145.0,6362,9184.656779
24.0,3181,9223.749924
155.0,6555,9285.205936
54.0,4441,9331.642976
3.0,877,9335.664881
12.0,1931,9353.35398
104.0,5140,9402.85879
409.0,8363,9489.193064
113.0,5903,9550.537969
50.0,4209,9583.924845
53.0,3487,9629.673408
20.0,3159,9658.306013
286.0,7676,9745.314254
44.0,4023,9787.893169
84.0,4992,9838.571071
68.0,5388,9894.566413
328.0,6938,9953.462798
32.0,3573,10003.209544
349.0,6618,10071.519965
289.0,7594,10153.882331
263.0,7802,10234.205028
48.0,4356,10262.606204
37.0,4160,10308.828785
312.0,8139,10382.571009
108.0,5673,10432.592454
340.0,7100,10502.075436
49.0,2962,10536.22224
256.0,7458,10604.233501
17.0,2489,10625.140363
28.0,1971,10641.19574
20.0,2415,10663.319313
42.0,4184,10702.729202
35.0,3212,10724.377456
393.0,8665,10798.961447
177.0,6959,10868.14323
21.0,2818,10896.177416
235.0,6497,10964.011871
380.0,7314,11027.856306
130.0,6032,11082.270569
60.0,4862,11133.174279
249.0,8136,11210.531158
381.0,11117,11325.098499
97.0,4754,11379.921109
380.0,9599,11461.828609
354.0,7998,11532.28097
301.0,7709,11630.967759
335.0,7692,11705.421564
268.0,6694,11768.059196
29.0,2959,11793.934246
161.0,6675,11876.576758
66.0,4827,11923.996738
44.0,3471,11957.580255
129.0,6285,12032.974689
100.0,5322,12080.482282
344.0,7326,12161.020668
59.0,3237,12190.503951
52.0,5440,12250.638715
177.0,6892,12333.888224
64.0,5062,12389.739958
306.0,6134,12454.883755
328.0,7201,12539.927909
402.0,8651,12653.643833
189.0,6211,12722.548391
214.0,7058,12800.887329
367.0,7040,12871.932563
47.0,4306,12909.072594
358.0,4695,12975.670507
83.0,4684,13033.558332
62.0,5217,13085.103274
358.0,7780,13166.482388
81.0,5532,13222.625898
125.0,5742,13294.084956
104.0,5753,13349.236558
31.0,2459,13374.876379
36.0,3168,13404.468154
44.0,4681,13453.021311
81.0,5285,13504.019443
324.0,7059,13580.475381
398.0,8520,13665.730027
53.0,4444,13719.51726
33.0,2996,13750.529833
46.0,3901,13800.62461
17.0,2280,13827.210294
261.0,7321,13899.831327
42.0,4845,13954.920234
70.0,5550,14029.711497
94.0,6124,14083.348955
18.0,3115,14120.401821
433.0,9522,14241.591123
111.0,7181,14336.401659
313.0,8337,14489.279758
301.0,7670,14571.407017
32.0,3503,14624.705544
380.0,7531,14717.316225
48.0,3449,14751.312496
374.0,8602,14842.498247
362.0,5483,14895.469998
125.0,6817,14973.119929
39.0,2659,15004.3087
38.0,4144,15048.861758
180.0,7876,15122.570708
38.0,3352,15153.059884
39.0,3979,15202.638067
341.0,8045,15289.609942
48.0,3365,15317.549572
24.0,3361,15363.817397
367.0,8091,15449.899848
287.0,6519,15516.441814
362.0,6909,15620.985405
265.0,7871,15711.625546
28.0,3618,15758.116775
344.0,7937,15839.053714
300.0,8006,15931.093035
111.0,5751,15991.156564
165.0,6145,16076.98456
223.0,6784,16167.608415
143.0,6620,16254.154916
123.0,6224,16357.696696
337.0,8060,16442.645746
392.0,7995,16548.1884
156.0,6229,16623.801153
389.0,7215,16725.148863
421.0,9645,16856.377856
408.0,8815,16976.969816
337.0,8340,17074.117756
385.0,13253,17235.320992
385.0,6030,17325.494242
322.0,6766,17390.278611
339.0,7675,17500.352301
424.0,9593,17619.75379
15.0,2558,17701.615014
27.0,3815,17760.319717
436.0,9639,17864.322472
375.0,7432,17946.898026
333.0,108000,19460.419538
333.0,9773,19576.3907
199.0,5696,19671.109444
370.0,8472,19764.494099
389.0,8399,19869.420226
413.0,9174,19988.674671
231.0,5688,20073.657042
66.0,4393,20145.740094
395.0,10129,20279.717842
344.0,6637,20381.376194
301.0,8641,20487.019687
369.0,8759,20645.037956
338.0,8963,20768.869477
345.0,7197,20869.140362
235.0,8260,20974.456672
364.0,8577,21157.355384
397.0,10806,21281.975029
366.0,12103,21427.393305
438.0,31090,21801.941401
195.0,5263,21862.624926
97.0,5601,21933.417413
411.0,6290,22009.924538
25.0,2987,22042.87429
90.0,5818,22103.621115
378.0,8008,22218.434043
237.0,6845,22283.470516
389.0,8016,22374.941386
418.0,10281,22532.203747
384.0,8231,22624.187674
367.0,8656,22723.633485
146.0,5865,22813.354901
69.0,4561,22852.794605
377.0,8811,22962.336469
177.0,7192,23043.097943
80.0,4283,23106.68266
302.0,5562,23196.685902
364.0,8313,23287.048911
13.0,2301,23317.551594
423.0,19473,23646.358954
253.0,3230,23677.520454
318.0,7379,23780.616265
349.0,6703,23859.344336
358.0,7440,23965.63903
357.0,7895,24075.977787
30.0,3122,24121.578357
305.0,4711,24184.47637
391.0,11243,24322.733076
411.0,8528,24426.342718
384.0,8039,24576.118705
383.0,6322,24650.275206
311.0,7903,24750.848722
375.0,7458,24906.927021
414.0,14370,25109.060503
402.0,8641,25219.428205
257.0,6864,25314.750319
398.0,9468,25456.269023
251.0,7845,25566.890924
428.0,16559,25800.819335
379.0,6695,25867.664487
281.0,5957,25963.507789
381.0,10189,26116.404494
403.0,9100,26227.692641
306.0,5543,26320.104919
394.0,8627,26468.733543
141.0,5995,26564.512343
64.0,3683,26633.672949
376.0,8851,26775.89591
363.0,17746,27070.314251
217.0,5805,27156.203654
411.0,9120,27294.524136
